wins,losses,draws,SLpM,SApM,TD Avg.,Sub. Avg.,ID,height,weight_kg,Str. Acc._total,Str. Def_total,TD Acc._total,TD Def._total,reach_cm,stance,age
1,4,0,0.0,0.0,0.0,0.0,81,185.42,90.72,0.0,0.0,0.0,0.0,180.34,2,26
1,6,0,0.0,0.0,0.0,0.0,82,193.04,104.33,0.0,0.0,0.0,0.0,180.34,1,62
5,5,0,0.0,0.0,0.0,0.0,83,190.5,104.33,0.0,0.0,0.0,0.0,180.34,1,57
17,9,0,2.06,1.74,2.44,1.6,84,187.96,156.49,0.44,0.34,0.42,0.0,180.34,2,56
6,12,0,0.0,0.0,0.0,0.0,85,195.58,124.74,0.0,0.0,0.0,0.0,180.34,1,26
2,0,0,0.0,0.0,0.0,0.0,86,175.26,102.51,0.0,0.0,0.0,0.0,180.34,1,26
1,2,0,0.0,0.0,0.0,0.0,87,185.42,95.25,0.0,0.0,0.0,0.0,180.34,1,26
0,1,0,0.0,0.0,0.0,0.0,88,170.18,99.79,0.0,0.0,0.0,0.0,180.34,2,26
14,9,0,0.0,0.0,0.0,0.0,89,193.04,104.33,0.0,0.0,0.0,0.0,180.34,1,57
6,5,1,0.0,0.0,0.0,0.0,90,187.96,113.4,0.0,0.0,0.0,0.0,180.34,1,26
1,1,0,0.0,0.0,0.0,0.0,91,177.8,96.16,0.0,0.0,0.0,0.0,180.34,1,26
15,11,0,0.28,0.89,2.92,0.4,92,190.5,120.66,0.41,0.28,0.77,0.0,180.34,4,57
6,13,0,0.0,0.0,0.0,0.0,93,185.42,117.93,0.0,0.0,0.0,0.0,180.34,2,26
6,4,0,0.0,0.0,0.0,0.0,94,190.5,109.77,0.0,0.0,0.0,0.0,180.34,1,61
26,17,0,1.26,2.03,1.26,1.7,95,182.88,83.91,0.41,0.51,0.31,0.48,180.34,2,56
2,3,0,0.0,0.0,0.0,0.0,96,172.72,72.57,0.0,0.0,0.0,0.0,180.34,1,62
4,2,0,0.0,0.0,0.0,0.0,97,177.8,90.26,0.0,0.0,0.0,0.0,180.34,4,61
4,1,2,0.0,0.0,0.0,0.0,98,185.42,90.26,0.0,0.0,0.0,0.0,180.34,1,60
5,5,0,0.0,0.0,0.0,0.0,99,175.26,79.38,0.0,0.0,0.0,0.0,180.34,1,26
10,5,2,0.64,1.35,1.75,2.6,100,182.88,92.99,0.52,0.41,0.4,0.0,180.34,1,55
5,7,0,0.0,0.0,0.0,0.0,101,190.5,90.72,0.0,0.0,0.0,0.0,180.34,1,26
4,6,0,0.0,0.0,0.0,0.0,102,185.42,95.25,0.0,0.0,0.0,0.0,180.34,2,26
