fight_url,winner
http://ufcstats.com/fight-details/225e93ebed9b71b8,Joanderson Brito
http://ufcstats.com/fight-details/a2523a8565fe4361,Steven Asplund
http://ufcstats.com/fight-details/ceb5b0f1f6daddf6,Luana Santos
http://ufcstats.com/fight-details/ac56a1052c4c8f63,Guilherme Pat
http://ufcstats.com/fight-details/71170fb7ade3e1f4,Jamey-Lyn Horth
http://ufcstats.com/fight-details/4a0db214d9721d6e,Petr Yan
http://ufcstats.com/fight-details/dfa692db6d39330c,Joshua Van
http://ufcstats.com/fight-details/fbbb9e72900b71f5,Tatsuro Taira
http://ufcstats.com/fight-details/1dc29f4c6fcdd356,Payton Talbott
http://ufcstats.com/fight-details/6d6ab10cbaa45e8c,
http://ufcstats.com/fight-details/c797b58d85c840a4,Manuel Torres
http://ufcstats.com/fight-details/b3d2ac2244e4f791,Chris Duncan
http://ufcstats.com/fight-details/2417cc7bc1eea75b,Maycee Barber
http://ufcstats.com/fight-details/10a57b983e59f727,Fares Ziam
http://ufcstats.com/fight-details/3c683da1924b6c44,Brunno Ferreira
http://ufcstats.com/fight-details/7af407397532f7cf,Jalin Turner
http://ufcstats.com/fight-details/ea660db65bfa998f,Iwo Baraniewski
http://ufcstats.com/fight-details/964ea1777695851b,Mansur Abdul-Malik
http://ufcstats.com/fight-details/40fa4f8b4b93884e,Mairon Santos
http://ufcstats.com/fight-details/5f5b626e67529056,Arman Tsarukyan
http://ufcstats.com/fight-details/b2218930b982d9b6,Ian Machado Garry
http://ufcstats.com/fight-details/870d374f8d9af65a,Volkan Oezdemir
http://ufcstats.com/fight-details/8ed609d80e135d94,Myktybek Orolbai
http://ufcstats.com/fight-details/e8307c7686c42d8c,Waldo Cortes Acosta
http://ufcstats.com/fight-details/00ee51bba08b7a08,Kyoji Horiguchi
http://ufcstats.com/fight-details/5e6a74db89f5410c,Luke Riley
http://ufcstats.com/fight-details/c49485cedb878cf0,Nicolas Dalby
http://ufcstats.com/fight-details/443f30a4a856584a,Asu Almabayev
http://ufcstats.com/fight-details/f5564a9eeebd4ea0,Abdul Rakhman Yakhyaev
http://ufcstats.com/fight-details/6f0231915cc28507,Aleksandre Topuria
http://ufcstats.com/fight-details/335064c3380e2f10,Ismail Naurdiev
http://ufcstats.com/fight-details/46f81d5ecd974c1c,Nurullo Aliev
http://ufcstats.com/fight-details/9027e156c6f1988a,Denzel Freeman
http://ufcstats.com/fight-details/856f6ee049373843,Islam Makhachev
http://ufcstats.com/fight-details/7606f6b6c19f2d73,Valentina Shevchenko
http://ufcstats.com/fight-details/477af74ea3cbba8b,Michael Morales
http://ufcstats.com/fight-details/3c60884853766487,Carlos Prates
http://ufcstats.com/fight-details/9b5f190cd3f5ce16,Benoit Saint Denis
http://ufcstats.com/fight-details/292b83afa418635f,Bo Nickal
http://ufcstats.com/fight-details/ebb012c5f3fd0cbb,Gregory Rodrigues
http://ufcstats.com/fight-details/909cd8633507a0c8,Erin Blanchfield
http://ufcstats.com/fight-details/e313286b307334a7,Ethyn Ewing
http://ufcstats.com/fight-details/9bbdc2a2ab334541,Kyle Daukaus
http://ufcstats.com/fight-details/e3cbd663732f4a98,Pat Sabatini
http://ufcstats.com/fight-details/6c2c6a6e3f4d04db,Fatima Kline
http://ufcstats.com/fight-details/c037cf1f7b429d5e,Baisangur Susurkaev
http://ufcstats.com/fight-details/1a5378e32e8519ef,Matheus Camilo
http://ufcstats.com/fight-details/4e224ebb6394611d,Gabriel Bonfim
http://ufcstats.com/fight-details/f7e9bd2d6f81aeae,Joseph Morales
http://ufcstats.com/fight-details/b23fa678cc65cf5b,Uros Medic
http://ufcstats.com/fight-details/20971ed9a842b0cb,Chris Padilla
http://ufcstats.com/fight-details/ac4343150638b635,Christian Leroy Duncan
http://ufcstats.com/fight-details/e3d657dd88864ba7,Jamall Emmers
http://ufcstats.com/fight-details/c6d56aad93f98249,Raoni Barcelos
http://ufcstats.com/fight-details/80eae31bc0a94a65,Jacqueline Cavalcanti
http://ufcstats.com/fight-details/87dcb3eab20f6ac1,Josh Hokit
http://ufcstats.com/fight-details/9126633d921afb57,Denise Gomes
http://ufcstats.com/fight-details/238c274c90587e21,Daniel Marcos
http://ufcstats.com/fight-details/84b66bf7fba2d59d,Zach Reese
http://ufcstats.com/fight-details/747d922b329b7f30,Steve Garcia
http://ufcstats.com/fight-details/9d9390b550d77e06,Waldo Cortes Acosta
http://ufcstats.com/fight-details/b0f68344e01884ff,Jeremiah Wells
http://ufcstats.com/fight-details/767b78b67c7da17c,Yadier del Valle
http://ufcstats.com/fight-details/71c8ca7442bcb757,Charles Radtke
http://ufcstats.com/fight-details/f41c2c82d5117230,Allan Nascimento
http://ufcstats.com/fight-details/f063bcccbbb9edc5,Billy Elekana
http://ufcstats.com/fight-details/58f6248da3cdf3ce,Timmy Cuamba
http://ufcstats.com/fight-details/c245be6698c1e378,Donte Johnson
http://ufcstats.com/fight-details/760150e9951e65fa,Norma Dumont
http://ufcstats.com/fight-details/32927d50acedb507,Alice Ardelean
http://ufcstats.com/fight-details/e6031b5937294176,Seokhyeon Ko
http://ufcstats.com/fight-details/7add5901fac6ab82,Talita Alencar
http://ufcstats.com/fight-details/6390c8e74630473e,
http://ufcstats.com/fight-details/7d3da3c4153717de,Mackenzie Dern
http://ufcstats.com/fight-details/e69f9b4b9cae12a4,Umar Nurmagomedov
http://ufcstats.com/fight-details/b42a3386a7dccb3d,Alexander Volkov
http://ufcstats.com/fight-details/ef12d2aaaadaf6d0,Azamat Murzakanov
http://ufcstats.com/fight-details/cb902d73389ed34b,Quillan Salkilld
http://ufcstats.com/fight-details/0230a9dd2739add4,Ikram Aliskerov
http://ufcstats.com/fight-details/e9c034cec33b3479,Ludovit Klein
http://ufcstats.com/fight-details/f2c2a49fed32bd75,Valter Walker
http://ufcstats.com/fight-details/bd7394f07247d9ca,Nathaniel Wood
http://ufcstats.com/fight-details/3fdb4c4b39218cf4,Hamdy Abdelwahab
http://ufcstats.com/fight-details/22dd728012944f0a,Mitch Raposo
http://ufcstats.com/fight-details/ef1519c8c1d20977,Mizuki
http://ufcstats.com/fight-details/d61373d9fdf01a12,Brendan Allen
http://ufcstats.com/fight-details/cdd565a16975c711,Mike Malott
http://ufcstats.com/fight-details/857d274e47aa8c4e,Aiemann Zahabi
http://ufcstats.com/fight-details/c82acd7b17915591,Manon Fiorot
http://ufcstats.com/fight-details/a18edcb638ba7e39,Charles Jourdain
http://ufcstats.com/fight-details/3af1bdc5a510bba9,Kyle Nelson
http://ufcstats.com/fight-details/ecdbb3a5216b815e,Drew Dober
http://ufcstats.com/fight-details/970f083af8368f57,Aoriqileng
http://ufcstats.com/fight-details/668a44403a130043,Bruno Silva
http://ufcstats.com/fight-details/096e00355c8c84ac,Djorden Santos
http://ufcstats.com/fight-details/8d9458121f0c4b95,Stephanie Luciano
http://ufcstats.com/fight-details/87ac0e5face106b4,Yousri Belgaroui
http://ufcstats.com/fight-details/dec301fd5e99ca46,Melissa Croden
http://ufcstats.com/fight-details/79865287be90e4be,Charles Oliveira
http://ufcstats.com/fight-details/f295eb2a7b0ba4b7,Deiveson Figueiredo
http://ufcstats.com/fight-details/6188b7fb3f8daacc,Joel Alvarez
http://ufcstats.com/fight-details/03377f7bf8a2d5ff,Mario Pinto
http://ufcstats.com/fight-details/2aef1a91d26dde42,Kaan Ofli
